title;author;detail;imageLink;amazonLink;genre
スイッチを押すとき (角川文庫);山田 悠介;青少年自殺抑制プロジェクトセンターで、監視員として勤務する南洋平。ここでは、4人の少年少女に、自らの命を絶つ“赤いスイッチ”を持たせ、実験をしていた。極限状態で軟禁され、孤独に耐えられず次々と命を絶つはずが、この4人は“7年間もスイッチを押さない”という異例の子供だったのだ。彼らが生きたいと願うその理由を聞き、南たちは脱出を図るが、そこには非情な運命が待ちうけており―。;https://images-na.ssl-images-amazon.com/images/I/51XC9MUeLnL._SX353_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81%E3%82%92%E6%8A%BC%E3%81%99%E3%81%A8%E3%81%8D-%E8%A7%92%E5%B7%9D%E6%96%87%E5%BA%AB-%E5%B1%B1%E7%94%B0-%E6%82%A0%E4%BB%8B/dp/4043792069/ref=bmx_4/357-6347681-6961632?_encoding=UTF8&pd_rd_i=4043792069&pd_rd_r=5fbc7c43-c7b2-4eed-8ad1-aa7355b750e2&pd_rd_w=dpnOa&pd_rd_wg=SBWkx&pf_rd_p=2149407b-0896-4053-a80d-baa280ae868a&pf_rd_r=JF97SYYBKA1T60FP488J&psc=1&refRID=JF97SYYBKA1T60FP488J;JN
オレがマリオ (文春文庫);俵 万智;“ゆきずりの人に貰いしゆでたまご子よ忘れるなそのゆでたまご”。震災から五日後、息子の手を引き西へ向かい、そのまま石垣島に住むことになる親子。豊かな自然、地域の人との触れ合いは、様々な変化をもたらした。“「オレが今マリオなんだよ」島に来て子はゲーム機に触れなくなりぬ”。新しい光に満ちた第五歌集。;https://images-na.ssl-images-amazon.com/images/I/51tYCgqMbKL._SX348_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E3%82%AA%E3%83%AC%E3%81%8C%E3%83%9E%E3%83%AA%E3%82%AA-%E6%96%87%E6%98%A5%E6%96%87%E5%BA%AB-%E4%BF%B5-%E4%B8%87%E6%99%BA/dp/4167909154/ref=sr_1_8?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=2X7E4OO5D2I7L&dchild=1&keywords=%E3%82%B5%E3%83%A9%E3%83%80%E8%A8%98%E5%BF%B5%E6%97%A5&qid=1603438105&s=books&sprefix=%E3%82%B5%E3%83%A9%E3%83%80%2Cstripbooks%2C253&sr=1-8;JN
心霊探偵八雲１　赤い瞳は知っている (角川文庫);	神永 学;学内で幽霊騒動に巻き込まれた友人について相談するため、晴香は、不思議な力を持つ男がいるという「映画同好会」を訪ねた。しかしそこで彼女を出迎えたのは、ひどい寝癖と眠そうな目をした、スカした青年。思い切って相談を持ちかける晴香だったが!?女子大生監禁殺人事件、自殺偽装殺人…次々と起こる怪事件に、死者の魂を見ることができる名探偵・斉藤八雲が挑む、驚異のハイスピード・スピリチュアル・ミステリー登場。;https://images-na.ssl-images-amazon.com/images/I/51vtJ-Vs54L._SX354_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E5%BF%83%E9%9C%8A%E6%8E%A2%E5%81%B5%E5%85%AB%E9%9B%B21-%E8%B5%A4%E3%81%84%E7%9E%B3%E3%81%AF%E7%9F%A5%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B-%E8%A7%92%E5%B7%9D%E6%96%87%E5%BA%AB-%E7%A5%9E%E6%B0%B8-%E5%AD%A6/dp/4043887019/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=;JN
君と会えたから・・・;喜多川 泰;将来に対する漠とした不安を抱えながらも、自分のやるべきこともやりたいことも見つけられずに何もせず、無気力に過ごしていた平凡な高校生の僕のもとに、ある夏の日、美しい女の子がやってきた。そして、彼女から、その後の僕の人生を変える教えを聞くことになる。いつしか彼女に恋心を募らせていた彼の前に次第に明らかになっていく彼女の秘密とは……;https://images-na.ssl-images-amazon.com/images/I/51B8qX55TkL._SX340_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E5%90%9B%E3%81%A8%E4%BC%9A%E3%81%88%E3%81%9F%E3%81%8B%E3%82%89%E3%83%BB%E3%83%BB%E3%83%BB-%E5%96%9C%E5%A4%9A%E5%B7%9D-%E6%B3%B0/dp/4887594801/ref=bmx_8?_encoding=UTF8&pd_rd_i=4887594801&pd_rd_r=b2bc3d88-408b-4c64-8b44-c0634824b69e&pd_rd_w=Q2EF6&pd_rd_wg=NkC8g&pf_rd_p=2149407b-0896-4053-a80d-baa280ae868a&pf_rd_r=C5XM72Q3PAG2Q1KMA8RH&psc=1&refRID=C5XM72Q3PAG2Q1KMA8RH;JN
新世界より(上) (講談社文庫);貴志祐介;1959年大阪府生まれ。京都大学経済学部卒業。生命保険会社に勤務後、作家に。1996年、『十三番目の人格――ISOLA』が第3回日本ホラー小説大賞長編賞佳作に選ばれる。1997年『黒い家』で第4回日本ホラー小説大賞、2005年『硝子のハンマー』で日本推理作家協会賞長編賞を受賞。その他の著書に、『天使の囀り』『クリムゾンの迷宮』などがある。『十三番目の人格――ISOLA』『黒い家』『青の炎』が映画化されるなど、つねに話題作を発表し続ける、エンターテインメント界の鬼才。 --このテキストは、絶版本またはこのタイトルには設定されていない版型に関連付けられています。;https://m.media-amazon.com/images/I/51k7B4UP7jL.jpg;https://www.amazon.co.jp/gp/product/B009GXME5G/ref=dbs_a_def_rwt_hsch_vapi_tkin_p1_i5;JN
凍りのくじら (講談社文庫);辻村 深月;藤子・F・不二雄を「先生」と呼び、その作品を愛する父が失踪して5年。高校生の理帆子は、夏の図書館で「写真を撮らせてほしい」と言う一人の青年に出会う。戸惑いつつも、他とは違う内面を見せていく理帆子。そして同じ頃に始まった不思議な警告。皆が愛する素敵な“道具”が私たちを照らすとき―。;https://images-na.ssl-images-amazon.com/images/I/51l5Ck236PL._SX356_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E5%87%8D%E3%82%8A%E3%81%AE%E3%81%8F%E3%81%98%E3%82%89-%E8%AC%9B%E8%AB%87%E7%A4%BE%E6%96%87%E5%BA%AB-%E8%BE%BB%E6%9D%91-%E6%B7%B1%E6%9C%88/dp/4062762005/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=;JN
86―エイティシックス― (電撃文庫);安里 アサト;サンマグノリア共和国。そこは日々、隣国である「帝国」の無人兵器“レギオン”による侵略を受けていた。しかしその攻撃に対して、共和国側も同型兵器の開発に成功し、辛うじて犠牲を出すことなく、その脅威を退けていたのだった。そう―表向きは。本当は誰も死んでいないわけではなかった。共和国全85区画の外。“存在しない“第86区””。そこでは「エイティシックス」の烙印を押された少年少女たちが日夜“有人の無人機”として戦い続けていた―。死地へ向かう若者たちを率いる少年・シンと、遙か後方から、特殊通信で彼らの指揮を執る“指揮管制官”となった少女・レーナ。二人の激しくも悲しい戦いと、別れの物語が始まる―!第23回電撃小説大賞“大賞”の栄冠に輝いた傑作、堂々発進!;https://images-na.ssl-images-amazon.com/images/I/61dTn+rLR9L._SX351_BO1,204,203,200_.jpg;https://www.amazon.co.jp/dp/4048926667/ref=sspa_dk_detail_3?psc=1&pd_rd_i=4048926667p13NParams&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEySFNZWERMMlRTVlgwJmVuY3J5cHRlZElkPUEwOTE5NDc4MzhUVEwyVEdPNkUwWSZlbmNyeXB0ZWRBZElkPUEzTlVTQUlKS0pHS0M1JndpZGdldE5hbWU9c3BfZGV0YWlsMiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=;JN
--このテキストは、絶版本またはこのタイトルには設定されていない版型に関連付けられています。;https://images-na.ssl-images-amazon.com/images/I/51qDgKrOpwL._SX284_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E3%83%89%E3%82%B0%E3%83%A9%E3%83%BB%E3%83%9E%E3%82%B0%E3%83%A9-%E3%83%8F%E3%83%A4%E3%82%AB%E3%83%AF%E3%83%BB%E3%83%9F%E3%82%B9%E3%83%86%E3%83%AA-276-%E5%A4%A2%E9%87%8E-%E4%B9%85%E4%BD%9C/dp/4150002762/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=1603438672&sr=1-1;JN
日本SFの臨界点[恋愛篇] 死んだ恋人からの手紙 (ハヤカワ文庫JA);伴名 練;『なめらかな世界と、その敵』の著者・伴名練が、全力のSF愛を捧げて編んだ傑作アンソロジー。恋人の手紙を通して異星人の思考体系に迫った中井紀夫の表題作、高野史緒の改変歴史SF「G線上のアリア」、円城塔の初期の逸品「ムーンシャイン」など、現在手に入りにくい、短篇集未収録作を中心とした恋愛・家族愛テーマの9本を厳選。それぞれの作品への解説と、これからSFを読みたい読者への完全入門ガイドを併録。;https://images-na.ssl-images-amazon.com/images/I/51sH+ay0QZL._SX335_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%E6%97%A5%E6%9C%ACSF%E3%81%AE%E8%87%A8%E7%95%8C%E7%82%B9-%E6%81%8B%E6%84%9B%E7%AF%87-%E6%AD%BB%E3%82%93%E3%81%A0%E6%81%8B%E4%BA%BA%E3%81%8B%E3%82%89%E3%81%AE%E6%89%8B%E7%B4%99-%E3%83%8F%E3%83%A4%E3%82%AB%E3%83%AF%E6%96%87%E5%BA%ABJA-%E4%BC%B4%E5%90%8D/dp/4150314403/ref=pd_bxgy_img_2/357-6347681-6961632?_encoding=UTF8&pd_rd_i=4150314403&pd_rd_r=0d80ed90-2801-4a10-acdd-eed6b36e1446&pd_rd_w=6lEV1&pd_rd_wg=k962P&pf_rd_p=e64b0a81-ca1b-4802-bd2c-a4b65bccc76e&pf_rd_r=WAAF537QMJN1TKSE1VW4&psc=1&refRID=WAAF537QMJN1TKSE1VW4;JN
×ゲーム (幻冬舎文庫);山田 悠介;小久保英明は小学校時代「×ゲーム」と称し、仲間4人で蕪木鞠子をいじめ続けた。段ボール箱にいじめの内容を書いたクジを入れ、それを引いては書かれたことを実行するのだ。ある日、英明は「蕪木に告白する」というクジを引き、やむなく愛を告げる。それから12年、突然、彼らの前に現れた蕪木は、英明への偏執的な愛を抱き壮絶な復讐を始める。;https://images-na.ssl-images-amazon.com/images/I/41Z6OGxZKwL._SX339_BO1,204,203,200_.jpg;https://www.amazon.co.jp/%C3%97%E3%82%B2%E3%83%BC%E3%83%A0-%E5%B9%BB%E5%86%AC%E8%88%8E%E6%96%87%E5%BA%AB-%E5%B1%B1%E7%94%B0-%E6%82%A0%E4%BB%8B/dp/4344410025/ref=bmx_2/357-6347681-6961632?_encoding=UTF8&pd_rd_i=4344410025&pd_rd_r=3177dd3a-4ef7-4e19-8d8d-0527c9f101d9&pd_rd_w=cbteh&pd_rd_wg=XWh1W&pf_rd_p=2149407b-0896-4053-a80d-baa280ae868a&pf_rd_r=YESR07TGRCMYKGFSRSBG&psc=1&refRID=YESR07TGRCMYKGFSRSBG;JN
